title,location,description,date
University Writing Center presents: Writing Abstracts,Zoom,"
  Abstracts are a staple of academic communication. While abstracts can be difficult to write, they allow readers to focus on those articles, dissertations, or presentations that are essential to their own research. So knowing how to write one–how to attract the right readers and stay within the word count–is an important skill to develop.


  To sign up for our workshop, please use this Zoom registration link: https://tamu.zoom.us/meeting/register/tJMvdOysqTMvG9ao43tH5MUVXfP3VQTJ_KgB&#160;
  After registering, you will receive a confirmation email from Zoom with the meeting link and password.
  
  Attending this event and completing the reflection in eCampus is worth 1 PDU towards a G.R.A.D. Aggies Professional Development Certificate for graduate &amp; professional students. Visit grad-aggies.tamu.edu for more information.
",October 1
Time Out Tuesdays,"121A, Galveston",,October 1
Deadline: Faculty Research Small Seed Grants,,"
  The Race &amp; Ethnic Studies Institute annually funds a number of Faculty Small Research Seed Grants up to $2,500 each. There will be two competitions – one in the Fall and one in the Spring.


  By default, the awards run for roughly one calendar year. We expect Fall awards to be announced in November and Spring awards to be announced in April. Funds will be set to expire and be returned one year after the funds have been awarded. Exceptions can be made; we just ask that any such requests are communicated to us in a timely manner (ideally as part of the application process).
",October 1
Deadline: Undergraduate Research Grants,,"The Race &amp; Ethnic Studies Institute (RESI) is offering a number of research grants to current Texas A&amp;M University undergraduate students. This is, essentially, a major project grant to support the research enterprise leading to successful completion of some significant, faculty-directed project. In general, applicants should have second, third, or fourth-year standing; but RESI will consider proposals from exceptional students in their first year. As this award is also intended to provide students with grant-writing experience, students are expected to work closely with a faculty member on a project description, the rationale for the grant, and budget. Faculty are expected to provide feedback on a draft proposal and write a confidential letter directly to RESI.",October 1
Ocean of Memories,Swaim Amphitheatre Aggie Park,,October 1
‘Ocean of Memories’,Swaim Amphitheatre in Aggie Park,,October 1
TAMUQ Virtual Q&amp;A - Students &amp; Parents Welcome!,,"
  Do you have questions about traveling to Qatar?
",October 1
"OCEN Tutoring (Departmental, multiple courses)","108B, Galveston",,October 1
Penberthy North Hours,,,October 1
Penberthy South Hours,,,October 1
PEAP Hours,,,October 1
Critical Theory Collective Reading Group,Academic Building,"
  We invite faculty and graduate students for conversation on old and new forms of critical theory. We are an informal space of discussion and gathering for conversations about theory.
  
  Co-sponsored by the Race &amp; Ethnic Studies Institute.
",October 1
Hispanic Heritage Month,SSB,,October 1
Hispanic Heritage Month,SSB,,October 1
50 Meter,,,October 1
Nuclear Engineering Awards Banquet,Hilton College Station Hotel and Conference Center,"
  The purpose of this event is to connect donors with their students, and to honor this year’s scholarship recipients.
  
  This event is by invitation only.
",October 1
Omar Smith Tennis Center Hours,,,October 1
UGST 181 Library Visit (Clark),"Annex 405 , Annex 405A , Annex 405B, Library Annex",,October 1
Ice Hockey - Practice,"Spirit Ice Arena, 400 Holleman Dr E, College Station, TX 77840, USA",,October 1
Ice Hockey - Practice,"Spirit Ice Arena, 400 Holleman Dr E, College Station, TX 77840, USA",,October 1
Traveling Aggies Depart: Hadrian’s Italian Homecoming,"France, Italy, Monaco, Spain",,October 2
2024 School IPM Coordinator Training: San Angelo,"San Angelo ISD Administration Building, 1621 University Ave., San Angelo","
  The Texas A&amp;M AgriLife Extension Service has announced the schedule of integrated pest management, IPM, trainings for school district coordinators for 2024.
",October 2
Always a Bridesmaid,Unity Theatre,,October 2
Archery @ USA Archery Collegiate 3D Nationals,"Foley, AL, USA",,October 2
Free Tutoring,College Hills Baptist Church 712 Churchill Street College Station Texas 77840,,October 2
Inaugural Engineering Art Competition,Zachry Engineering Education Complex,"
  Engineering Art Competition
  Theme: Aggie Engineering: Forging the Future!
  August 19, 2024 - October 4, 2024
  We are excited to host our inaugural art contest exclusively for engineering students! This is your chance to showcase your creativity alongside your technical skills.
",October 2
Pattern Recognition,Forsyth Galleries,"
  Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.
",October 2
Pattern Recognition,Forsyth Galleries,Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.,October 2
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",October 2
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",October 2
RC Closed,,,October 2
"Shawn Smith, “Dissonant Data”",Langford Architecture Center Building A,,October 2
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",October 2
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",October 2
Texas Family Support Group,Online Virtual Meeting for all of Texas,,October 2
Transit Fall Service,Memorial Student Center,"
  Weekday Service Hours &#160;7:00 AM - Midnight
  Weekend Service Hours &#160;9:00 AM - 6:00 PM
",October 2
State Employee Charitable Campaign,Across campus,"The State Employee Charitable Campaign (SECC) is an opportunity for state employees to donate to charities through payroll deductions.&#160; Between Sept. 1 and Oct 31, employees can designate dollars as a one-time gift or monthly to 24 local charities and more than 1,000 nationally.&#160;&#160;",October 2
Student Rec Center Hours,,,October 2
Southside Rec Center Hours,,,October 2
Lap Pool,,,October 2
Polo Road Hours,,,October 2
Operating Hours,,,October 2
Vegetation Management Category Training,Hornsby Bend Wastewater Treatment Facility,,October 2
"2024 Turfgrass and Landscape Field Day | Dallas, Texas",Texas A&amp;M AgriLife Water and Land Resources Building,,October 2
Fundamentals of Electric Transmission System Planning Three-Day Short Course,,"
  This short course is designed to provide a comprehensive coverage of the fundamentals of the planning of high voltage electric power systems.&#160;
  
  Register here!
",October 2
University Writing Center Staff Meeting &amp; CRLA Class,"Evans 204E, Evans Library",,October 2
ASCC 004,"Evans 105: Whitley Suite, Evans Library",,October 2
ASCC 001,"Evans 202A, Evans Library",,October 2
Vegetation Management Category Training: Austin,"Hornsby Bend Wastewater Treatment Facility, 2210 S. FM 973, Austin","
  The Texas A&amp;M AgriLife Extension Service is holding a vegetation management category training from 8a.m.-5p.m. on Oct. 2 in Austin.
",October 2
Weekly BCDC Team Meeting,"RIC, 112/113",,October 2
2024 School IPM Coordinator Trainings,Multiple dates and locations available,,October 2
CSO Conversations &amp; Coffee: Norton Rose Fulbright,Appellate Courtroom (ACR),"
  CSO Conversations &amp; Coffee
  Every Wednesday
  8:30 - 10:30 am
  Appellate Courtroom
  Featuring Norton Rose Fulbright on Oct 2
",October 2
University Writing Center CRLA Class - Level I,"Annex 405C , Library Annex",,October 2
CRLA Level III Class,Evans Library,,October 2
"OCEN Tutoring (Departmental, multiple courses)","115, Galveston",,October 2
50 Meter,,,October 2
ASCC 002,"Evans 204B , Evans Library",,October 2
Research Integrity and Data,Online,,October 2
Ride the Current: Kayaking,"6200 Tres Lagos Blvd. McAllen, TX 78504","
  Join us for Ride the Current on Wednesday, October 2, from 10:00 AM to 12:00 PM at the Courtyard. Whether you’re a beginner or experienced paddler, this event is a perfect chance to enjoy kayaking, meet new friends, and have some fun on the water!
",October 2
Handling Burnout,SSB,"
  Join us for a presentation on recognizing and managing burnout, tailored specifically for college students.
",October 2
"William Evans, University of California - Irvine","Chemistry Building, Room 2104","
  Student Invited Inorganic Seminar
",October 2
Graduate Students LinkedIn &amp; Branding,Nagle,"
  Hybrid event: Both in-person (Nagle Hall) and online at tx.ag/Linked244
",October 2
Graduate Students LinkedIn &amp; Branding,Nagle,"
  Hybrid event: Both in-person (Nagle Hall) and online at tx.ag/Linked244
",October 2
PediAggies General Meeting,PHARM 115; REYN 305,,October 2
Dean’s Town Hall,Lecture Hall,"
  Dean’s Town Hall
  October 2, 2024
  12-1pm
  Lecture Hall
",October 2
Speaker’s Bureau Weekly Meeting,Rm 107,"
  Speaker’s Bureau Weekly Meeting
  Every Wednesday from August 28 - November 11
  12-1pm
  Room 107
",October 2
Master of Engineering Technical Management Virtual Info Session,,"
  Join us for a virtual information session to learn about Texas A&amp;M’s Master of Engineering Technical Management program.
",October 2
